GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03
Id,Id2,Geography,Estimate; Total:,Margin of Error; Total:,Estimate; Total: - Not Hispanic or Latino,Margin of Error; Total: - Not Hispanic or Latino,Estimate; Total: - Hispanic or Latino,Margin of Error; Total: - Hispanic or Latino
1400000US13021011701,13021011701,"Census Tract 117.01, Bibb County, Georgia",2489,402,2443,393,46,68
1400000US13021011702,13021011702,"Census Tract 117.02, Bibb County, Georgia",4613,590,4613,590,0,13
1400000US13021011800,13021011800,"Census Tract 118, Bibb County, Georgia",3777,428,3641,437,136,191
1400000US13021011900,13021011900,"Census Tract 119, Bibb County, Georgia",1857,301,1845,301,12,22
1400000US13021012000,13021012000,"Census Tract 120, Bibb County, Georgia",4736,407,4659,415,77,92
1400000US13021012101,13021012101,"Census Tract 121.01, Bibb County, Georgia",2198,304,2198,304,0,13
1400000US13021012102,13021012102,"Census Tract 121.02, Bibb County, Georgia",4637,521,4516,488,121,195
1400000US13021012200,13021012200,"Census Tract 122, Bibb County, Georgia",2154,345,2104,338,50,58
1400000US13021012300,13021012300,"Census Tract 123, Bibb County, Georgia",2854,486,2740,458,114,157
1400000US13021012400,13021012400,"Census Tract 124, Bibb County, Georgia",3739,641,3738,641,1,2
1400000US13021012500,13021012500,"Census Tract 125, Bibb County, Georgia",3569,473,3569,473,0,13
1400000US13021012600,13021012600,"Census Tract 126, Bibb County, Georgia",4934,573,4754,535,180,272
1400000US13021012700,13021012700,"Census Tract 127, Bibb County, Georgia",1842,279,1743,287,99,88
1400000US13021012800,13021012800,"Census Tract 128, Bibb County, Georgia",3884,670,3884,670,0,13
1400000US13021012900,13021012900,"Census Tract 129, Bibb County, Georgia",2321,465,2211,444,110,150
1400000US13021013101,13021013101,"Census Tract 131.01, Bibb County, Georgia",6248,913,6087,908,161,209
1400000US13021013102,13021013102,"Census Tract 131.02, Bibb County, Georgia",3796,406,3796,406,0,13
1400000US13021013201,13021013201,"Census Tract 132.01, Bibb County, Georgia",5806,1016,5686,1014,120,146
1400000US13021013202,13021013202,"Census Tract 132.02, Bibb County, Georgia",2758,478,2550,465,208,242
1400000US13021013302,13021013302,"Census Tract 133.02, Bibb County, Georgia",4147,399,4089,392,58,74
1400000US13021013407,13021013407,"Census Tract 134.07, Bibb County, Georgia",3931,602,3532,483,399,419
1400000US13021013408,13021013408,"Census Tract 134.08, Bibb County, Georgia",4585,396,4461,395,124,112
1400000US13021013409,13021013409,"Census Tract 134.09, Bibb County, Georgia",4011,392,3900,396,111,132
1400000US13021013410,13021013410,"Census Tract 134.10, Bibb County, Georgia",5491,559,5459,549,32,47
1400000US13021013411,13021013411,"Census Tract 134.11, Bibb County, Georgia",4034,523,3849,549,185,175
1400000US13021013502,13021013502,"Census Tract 135.02, Bibb County, Georgia",1885,242,1869,240,16,29
1400000US13021013503,13021013503,"Census Tract 135.03, Bibb County, Georgia",2963,450,1937,260,1026,470
1400000US13021013504,13021013504,"Census Tract 135.04, Bibb County, Georgia",8600,689,8426,658,174,177
1400000US13021013603,13021013603,"Census Tract 136.03, Bibb County, Georgia",4645,508,4522,473,123,105
1400000US13021013604,13021013604,"Census Tract 136.04, Bibb County, Georgia",5027,432,4949,430,78,123
1400000US13021013605,13021013605,"Census Tract 136.05, Bibb County, Georgia",5510,560,5453,532,57,136
1400000US13021013606,13021013606,"Census Tract 136.06, Bibb County, Georgia",5708,496,5686,494,22,36
1400000US13021013700,13021013700,"Census Tract 137, Bibb County, Georgia",3320,407,3294,403,26,32
1400000US13021013800,13021013800,"Census Tract 138, Bibb County, Georgia",2153,381,2108,376,45,47
1400000US13021013900,13021013900,"Census Tract 139, Bibb County, Georgia",2008,280,1953,286,55,94
1400000US13023790100,13023790100,"Census Tract 7901, Bleckley County, Georgia",4848,353,4807,351,41,60
1400000US13023790200,13023790200,"Census Tract 7902, Bleckley County, Georgia",3281,412,3036,408,245,76
1400000US13023790300,13023790300,"Census Tract 7903, Bleckley County, Georgia",4832,403,4800,393,32,41
1400000US13025960100,13025960100,"Census Tract 9601, Brantley County, Georgia",7279,731,7115,743,164,107
1400000US13025960200,13025960200,"Census Tract 9602, Brantley County, Georgia",5910,675,5899,670,11,14
1400000US13025960300,13025960300,"Census Tract 9603, Brantley County, Georgia",5220,505,5022,525,198,108
1400000US13027960200,13027960200,"Census Tract 9602, Brooks County, Georgia",1469,249,1265,206,204,135
1400000US13027960300,13027960300,"Census Tract 9603, Brooks County, Georgia",5570,484,5126,473,444,230
1400000US13027960400,13027960400,"Census Tract 9604, Brooks County, Georgia",3760,348,3674,351,86,105
1400000US13027960500,13027960500,"Census Tract 9605, Brooks County, Georgia",2519,303,2409,295,110,146
1400000US13027960600,13027960600,"Census Tract 9606, Brooks County, Georgia",2567,331,2567,331,0,13
1400000US13029920101,13029920101,"Census Tract 9201.01, Bryan County, Georgia",4658,526,4569,528,89,94
1400000US13029920102,13029920102,"Census Tract 9201.02, Bryan County, Georgia",5324,512,5078,468,246,189
1400000US13029920301,13029920301,"Census Tract 9203.01, Bryan County, Georgia",2154,257,1993,267,161,168
1400000US13029920303,13029920303,"Census Tract 9203.03, Bryan County, Georgia",5508,421,5452,431,56,60
1400000US13029920305,13029920305,"Census Tract 9203.05, Bryan County, Georgia",4024,367,3621,348,403,227
1400000US13029920306,13029920306,"Census Tract 9203.06, Bryan County, Georgia",9742,623,9032,606,710,265
1400000US13029980000,13029980000,"Census Tract 9800, Bryan County, Georgia",0,13,0,13,0,13
1400000US13031110100,13031110100,"Census Tract 1101, Bulloch County, Georgia",3493,375,3296,378,197,179
1400000US13031110200,13031110200,"Census Tract 1102, Bulloch County, Georgia",6986,561,6803,560,183,142
1400000US13031110300,13031110300,"Census Tract 1103, Bulloch County, Georgia",7858,685,7420,675,438,255
1400000US13031110401,13031110401,"Census Tract 1104.01, Bulloch County, Georgia",3582,355,3518,362,64,80
1400000US13031110403,13031110403,"Census Tract 1104.03, Bulloch County, Georgia",6515,752,6237,743,278,217
1400000US13031110404,13031110404,"Census Tract 1104.04, Bulloch County, Georgia",7182,835,6936,828,246,120
1400000US13031110500,13031110500,"Census Tract 1105, Bulloch County, Georgia",4732,392,4473,385,259,178
1400000US13031110601,13031110601,"Census Tract 1106.01, Bulloch County, Georgia",6623,780,6478,781,145,101
1400000US13031110602,13031110602,"Census Tract 1106.02, Bulloch County, Georgia",3959,334,3886,333,73,78
1400000US13031110700,13031110700,"Census Tract 1107, Bulloch County, Georgia",10399,758,9887,727,512,346
