gisjn_tct,year,tractid,totpop_pov,povpop,povpop185,totalhh,hh100k_up,hh150k_up,tractpop,afam_pop,asn_pop,hisp_pop,totpop_age,under18,over64,povpop_pct,povpop185_pct,hh100k_pct,hh150k_pct,afam_pct,asn_pct,hisp_pct,under18_pct,over64_pct,aldi,bell.s,bi.lo,big.bear,bp.food.mart,chevron.food.mart,circle.k,citgo.food.mart,costco,cvs.pharmacy,dollar.general,dollar.tree,exxon.food.mart,family.dollar.store,flash.foods.llc,food.depot,food.lion,freds.store,harveys,iga,ingles.markets,jet.food.store,kmart,kroger,mapco.express,one.stop,piggly.wiggly,publix,quick.mart,quick.stop,quiktrip,race.trac,rite.aid,sam.s.club,save.a.lot,shell.food.mart,target,texaco.food.mart,the.fresh.market,trader.joe,walgreen.s.,walmart,wayfield,whole.foods,wholesale,winn.dixie,snap_enroll
G13045910800,Y2010,13045910800,4177,353,1288,1412,242,79,4177,189,0,75,4177,810,476,8.451041417,30.83552789,17.138810200000002,5.59490085,4.524778549,0,1.795547043,19.39190807,11.39573857,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,784.0067654
G13045910800,Y2009,13045910800,4170,323,1307,1469,200,60,4170,193,0,4,4170,817,484,7.745803357,31.34292566,13.61470388,4.084411164,4.628297362,0,0.095923261,19.59232614,11.60671463,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,681.8110634
G13045910800,Y2008,13045910800,4099,404,1311,1401,218,69,4099,329,0,6,4099,844,434,9.856062454,31.98341059,15.56031406,4.925053533,8.02634789,0,0.146377165,20.5903879,10.58794828,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,496.9022232
G13045910101,Y2013,13045910101,5940,1674,3009,2240,279,33,5968,1864,120,126,5968,1361,889,28.18181818,50.65656566,12.45535714,1.473214286,31.23324397,2.010723861,2.111260054,22.80495979,14.8961126,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1706.042267
G13045910101,Y2012,13045910101,6140,1580,2863,2292,275,27,6177,1817,98,195,6177,1272,982,25.73289902,46.6286645,11.9982548,1.178010471,29.4155739,1.586530678,3.156872268,20.59252064,15.89768496,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1640.230547
G13045910101,Y2011,13045910101,6166,1125,2600,2316,359,46,6179,1730,307,147,6179,1230,871,18.2452157,42.16672073,15.50086356,1.986183074,27.99805794,4.968441495,2.379025732,19.90613368,14.09613206,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1568.597022
G13045910101,Y2010,13045910101,5919,1010,2318,2272,327,46,5940,1620,268,159,5940,1182,748,17.06369319,39.16202061,14.39260563,2.024647887,27.27272727,4.511784512,2.676767677,19.8989899,12.59259259,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,1440.264169
G13045910101,Y2009,13045910101,5712,1212,2394,2170,269,40,5732,1778,283,200,5732,1135,619,21.21848739,41.91176471,12.39631336,1.843317972,31.01884159,4.937194696,3.489183531,19.80111654,10.79902303,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1209.92315
G13045910101,Y2008,13045910101,5972,1355,2628,2280,106,24,6002,1881,240,314,6002,1116,702,22.68921634,44.00535834,4.649122807,1.052631579,31.33955348,3.998667111,5.23158947,18.59380207,11.6961013,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,933.7670506
G13045910200,Y2013,13045910200,12086,2169,4428,4247,547,112,12163,1553,0,233,12163,2116,1691,17.94638425,36.63743174,12.87967977,2.637155639,12.76823152,0,1.915645811,17.39702376,13.90282003,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2704.113849
G13045910200,Y2012,13045910200,11374,1603,3911,4244,481,135,11422,1409,0,231,11422,1965,1633,14.09354669,34.38544048,11.3336475,3.180961357,12.33584311,0,2.022412887,17.20364209,14.29697076,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2571.250686
G13045910200,Y2011,13045910200,11458,1718,3876,4327,435,123,11496,1409,32,121,11496,1989,1713,14.99389073,33.82789318,10.05315461,2.842616131,12.25643702,0.27835769,1.052540014,17.30167015,14.90083507,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500.916241
G13045910200,Y2010,13045910200,12162,1756,4174,4353,385,140,12199,1376,94,114,12199,2464,1793,14.43841473,34.32001316,8.844475075,3.216172754,11.27961308,0.770554964,0.934502828,20.19837692,14.69792606,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2324.229287
G13045910200,Y2009,13045910200,11823,1577,3652,4189,368,73,11823,946,127,148,11823,2506,1194,13.338408190000001,30.88894528,8.784912867,1.742659346,8.001353294,1.074177451,1.251797344,21.19597395,10.09895965,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1903.028606
G13045910200,Y2008,13045910200,11147,1450,3259,4041,406,52,11147,1201,108,156,11147,2330,1182,13.00798421,29.23656589,10.04701806,1.286810195,10.77419934,0.968870548,1.399479681,20.90248497,10.60374989,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1362.979707
G13045910900,Y2013,13045910900,4088,612,1402,1352,313,135,4115,293,0,105,4115,835,490,14.97064579,34.29549902,23.15088757,9.985207101,7.120291616,0,2.55164034,20.29161604,11.90765492,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,877.6883422
G13045910900,Y2012,13045910900,4076,413,1195,1278,369,110,4078,312,0,94,4078,820,445,10.13248283,29.31795878,28.87323944,8.607198748,7.65080922,0,2.305051496,20.10789603,10.91221187,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,916.9386707
