GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
Id,Id2,Geography,Estimate; Total,Margin of Error; Total
1400000US13021013102,13021013102,"Census Tract 131.02, Bibb County, Georgia",4098,462
1400000US13021013201,13021013201,"Census Tract 132.01, Bibb County, Georgia",5614,696
1400000US13021013202,13021013202,"Census Tract 132.02, Bibb County, Georgia",2170,359
1400000US13021013302,13021013302,"Census Tract 133.02, Bibb County, Georgia",5152,851
1400000US13021013407,13021013407,"Census Tract 134.07, Bibb County, Georgia",4063,485
1400000US13021013408,13021013408,"Census Tract 134.08, Bibb County, Georgia",4452,278
1400000US13021013409,13021013409,"Census Tract 134.09, Bibb County, Georgia",3766,434
1400000US13021013410,13021013410,"Census Tract 134.10, Bibb County, Georgia",6189,567
1400000US13021013411,13021013411,"Census Tract 134.11, Bibb County, Georgia",3552,432
1400000US13021013502,13021013502,"Census Tract 135.02, Bibb County, Georgia",1904,352
1400000US13021013503,13021013503,"Census Tract 135.03, Bibb County, Georgia",2025,307
1400000US13021013504,13021013504,"Census Tract 135.04, Bibb County, Georgia",7767,631
1400000US13021013603,13021013603,"Census Tract 136.03, Bibb County, Georgia",4000,603
1400000US13021013604,13021013604,"Census Tract 136.04, Bibb County, Georgia",4351,558
1400000US13021013605,13021013605,"Census Tract 136.05, Bibb County, Georgia",6137,553
1400000US13021013606,13021013606,"Census Tract 136.06, Bibb County, Georgia",5423,435
1400000US13021013700,13021013700,"Census Tract 137, Bibb County, Georgia",2924,424
1400000US13021013800,13021013800,"Census Tract 138, Bibb County, Georgia",1814,382
1400000US13021013900,13021013900,"Census Tract 139, Bibb County, Georgia",2333,615
1400000US13023790100,13023790100,"Census Tract 7901, Bleckley County, Georgia",4489,529
1400000US13023790200,13023790200,"Census Tract 7902, Bleckley County, Georgia",3369,493
1400000US13023790300,13023790300,"Census Tract 7903, Bleckley County, Georgia",5079,511
1400000US13025960100,13025960100,"Census Tract 9601, Brantley County, Georgia",6278,647
1400000US13025960200,13025960200,"Census Tract 9602, Brantley County, Georgia",5144,622
1400000US13025960300,13025960300,"Census Tract 9603, Brantley County, Georgia",6228,649
1400000US13027960200,13027960200,"Census Tract 9602, Brooks County, Georgia",1824,370
1400000US13027960300,13027960300,"Census Tract 9603, Brooks County, Georgia",5631,551
1400000US13027960400,13027960400,"Census Tract 9604, Brooks County, Georgia",3887,511
1400000US13027960500,13027960500,"Census Tract 9605, Brooks County, Georgia",2454,524
1400000US13027960600,13027960600,"Census Tract 9606, Brooks County, Georgia",2542,429
1400000US13029920101,13029920101,"Census Tract 9201.01, Bryan County, Georgia",4010,407
1400000US13029920102,13029920102,"Census Tract 9201.02, Bryan County, Georgia",5053,376
1400000US13029920301,13029920301,"Census Tract 9203.01, Bryan County, Georgia",1993,390
1400000US13029920303,13029920303,"Census Tract 9203.03, Bryan County, Georgia",4554,460
1400000US13029920305,13029920305,"Census Tract 9203.05, Bryan County, Georgia",3916,353
1400000US13029920306,13029920306,"Census Tract 9203.06, Bryan County, Georgia",9513,516
1400000US13029980000,13029980000,"Census Tract 9800, Bryan County, Georgia",0,132
1400000US13031110100,13031110100,"Census Tract 1101, Bulloch County, Georgia",3656,423
1400000US13031110200,13031110200,"Census Tract 1102, Bulloch County, Georgia",7910,713
1400000US13031110300,13031110300,"Census Tract 1103, Bulloch County, Georgia",7519,714
1400000US13031110401,13031110401,"Census Tract 1104.01, Bulloch County, Georgia",3751,458
1400000US13031110403,13031110403,"Census Tract 1104.03, Bulloch County, Georgia",5475,852
1400000US13031110404,13031110404,"Census Tract 1104.04, Bulloch County, Georgia",7421,1535
1400000US13031110500,13031110500,"Census Tract 1105, Bulloch County, Georgia",4669,579
1400000US13031110601,13031110601,"Census Tract 1106.01, Bulloch County, Georgia",5921,594
1400000US13031110602,13031110602,"Census Tract 1106.02, Bulloch County, Georgia",4055,446
1400000US13031110700,13031110700,"Census Tract 1107, Bulloch County, Georgia",7833,583
1400000US13031110800,13031110800,"Census Tract 1108, Bulloch County, Georgia",2212,307
1400000US13031110900,13031110900,"Census Tract 1109, Bulloch County, Georgia",6876,545
1400000US13033950100,13033950100,"Census Tract 9501, Burke County, Georgia",5648,598
1400000US13033950200,13033950200,"Census Tract 9502, Burke County, Georgia",2695,373
1400000US13033950400,13033950400,"Census Tract 9504, Burke County, Georgia",4976,485
1400000US13033950500,13033950500,"Census Tract 9505, Burke County, Georgia",5440,674
1400000US13033950700,13033950700,"Census Tract 9507, Burke County, Georgia",2685,387
1400000US13033950900,13033950900,"Census Tract 9509, Burke County, Georgia",1639,225
1400000US13035150100,13035150100,"Census Tract 1501, Butts County, Georgia",7687,446
1400000US13035150200,13035150200,"Census Tract 1502, Butts County, Georgia",8397,445
1400000US13035150300,13035150300,"Census Tract 1503, Butts County, Georgia",7317,517
1400000US13037950100,13037950100,"Census Tract 9501, Calhoun County, Georgia",3239,282
1400000US13037950200,13037950200,"Census Tract 9502, Calhoun County, Georgia",3249,282
1400000US13039010100,13039010100,"Census Tract 101, Camden County, Georgia",3265,412
1400000US13039010200,13039010200,"Census Tract 102, Camden County, Georgia",5292,463
1400000US13039010301,13039010301,"Census Tract 103.01, Camden County, Georgia",7792,650
1400000US13039010302,13039010302,"Census Tract 103.02, Camden County, Georgia",4662,446
1400000US13039010401,13039010401,"Census Tract 104.01, Camden County, Georgia",9720,596
1400000US13039010402,13039010402,"Census Tract 104.02, Camden County, Georgia",4615,541
1400000US13039010403,13039010403,"Census Tract 104.03, Camden County, Georgia",3836,427
1400000US13039010500,13039010500,"Census Tract 105, Camden County, Georgia",2273,363
1400000US13039010601,13039010601,"Census Tract 106.01, Camden County, Georgia",7069,562
1400000US13039010602,13039010602,"Census Tract 106.02, Camden County, Georgia",769,219
1400000US13039990000,13039990000,"Census Tract 9900, Camden County, Georgia",0,132
1400000US13043950100,13043950100,"Census Tract 9501, Candler County, Georgia",4944,472
1400000US13043950200,13043950200,"Census Tract 9502, Candler County, Georgia",3107,488
1400000US13043950300,13043950300,"Census Tract 9503, Candler County, Georgia",2664,460
1400000US13045910101,13045910101,"Census Tract 9101.01, Carroll County, Georgia",6002,342
1400000US13045910103,13045910103,"Census Tract 9101.03, Carroll County, Georgia",4660,468
1400000US13045910104,13045910104,"Census Tract 9101.04, Carroll County, Georgia",8660,729
1400000US13045910200,13045910200,"Census Tract 9102, Carroll County, Georgia",11147,659
1400000US13045910300,13045910300,"Census Tract 9103, Carroll County, Georgia",6485,646
1400000US13045910400,13045910400,"Census Tract 9104, Carroll County, Georgia",3300,309
1400000US13045910501,13045910501,"Census Tract 9105.01, Carroll County, Georgia",7686,681
1400000US13045910502,13045910502,"Census Tract 9105.02, Carroll County, Georgia",3443,536
1400000US13045910600,13045910600,"Census Tract 9106, Carroll County, Georgia",5406,611
1400000US13045910701,13045910701,"Census Tract 9107.01, Carroll County, Georgia",9304,648
1400000US13045910702,13045910702,"Census Tract 9107.02, Carroll County, Georgia",6756,471
1400000US13045910703,13045910703,"Census Tract 9107.03, Carroll County, Georgia",8566,621
1400000US13045910800,13045910800,"Census Tract 9108, Carroll County, Georgia",4099,329
1400000US13045910900,13045910900,"Census Tract 9109, Carroll County, Georgia",3781,483
1400000US13045911000,13045911000,"Census Tract 9110, Carroll County, Georgia",6436,650
1400000US13045911100,13045911100,"Census Tract 9111, Carroll County, Georgia",7484,742
1400000US13045911200,13045911200,"Census Tract 9112, Carroll County, Georgia",6012,574
1400000US13047030100,13047030100,"Census Tract 301, Catoosa County, Georgia",6929,682
1400000US13047030201,13047030201,"Census Tract 302.01, Catoosa County, Georgia",4482,459
1400000US13047030202,13047030202,"Census Tract 302.02, Catoosa County, Georgia",6411,449
1400000US13047030301,13047030301,"Census Tract 303.01, Catoosa County, Georgia",6966,456
1400000US13047030303,13047030303,"Census Tract 303.03, Catoosa County, Georgia",3842,404
1400000US13047030304,13047030304,"Census Tract 303.04, Catoosa County, Georgia",3436,348
1400000US13047030401,13047030401,"Census Tract 304.01, Catoosa County, Georgia",7301,515
1400000US13047030402,13047030402,"Census Tract 304.02, Catoosa County, Georgia",5991,520
1400000US13047030500,13047030500,"Census Tract 305, Catoosa County, Georgia",5407,405
1400000US13047030600,13047030600,"Census Tract 306, Catoosa County, Georgia",5265,496
1400000US13047030700,13047030700,"Census Tract 307, Catoosa County, Georgia",6921,400
1400000US13049010100,13049010100,"Census Tract 101, Charlton County, Georgia",9718,402
1400000US13049010200,13049010200,"Census Tract 102, Charlton County, Georgia",2592,402
1400000US13051000100,13051000100,"Census Tract 1, Chatham County, Georgia",1957,480
1400000US13051000300,13051000300,"Census Tract 3, Chatham County, Georgia",1805,361
1400000US13051000601,13051000601,"Census Tract 6.01, Chatham County, Georgia",2778,556
1400000US13051000900,13051000900,"Census Tract 9, Chatham County, Georgia",885,171
1400000US13051001100,13051001100,"Census Tract 11, Chatham County, Georgia",2116,277
1400000US13051001200,13051001200,"Census Tract 12, Chatham County, Georgia",1924,467
1400000US13051001500,13051001500,"Census Tract 15, Chatham County, Georgia",937,156
1400000US13051002000,13051002000,"Census Tract 20, Chatham County, Georgia",1785,270
1400000US13051002100,13051002100,"Census Tract 21, Chatham County, Georgia",2324,467
1400000US13051002200,13051002200,"Census Tract 22, Chatham County, Georgia",5379,549
1400000US13051002300,13051002300,"Census Tract 23, Chatham County, Georgia",1863,354
1400000US13051002600,13051002600,"Census Tract 26, Chatham County, Georgia",1439,213
1400000US13051002700,13051002700,"Census Tract 27, Chatham County, Georgia",2782,337
1400000US13051002800,13051002800,"Census Tract 28, Chatham County, Georgia",3061,542
1400000US13051002900,13051002900,"Census Tract 29, Chatham County, Georgia",2876,318
1400000US13051003000,13051003000,"Census Tract 30, Chatham County, Georgia",1924,227
1400000US13051003301,13051003301,"Census Tract 33.01, Chatham County, Georgia",2030,501
1400000US13051003302,13051003302,"Census Tract 33.02, Chatham County, Georgia",1748,250
1400000US13051003400,13051003400,"Census Tract 34, Chatham County, Georgia",4079,407
1400000US13051003501,13051003501,"Census Tract 35.01, Chatham County, Georgia",2286,406
1400000US13051003502,13051003502,"Census Tract 35.02, Chatham County, Georgia",3775,478
1400000US13051003601,13051003601,"Census Tract 36.01, Chatham County, Georgia",3099,406
1400000US13051003602,13051003602,"Census Tract 36.02, Chatham County, Georgia",5094,590
1400000US13051003700,13051003700,"Census Tract 37, Chatham County, Georgia",1669,335
1400000US13051003800,13051003800,"Census Tract 38, Chatham County, Georgia",2667,426
1400000US13051003900,13051003900,"Census Tract 39, Chatham County, Georgia",4284,363
1400000US13051004001,13051004001,"Census Tract 40.01, Chatham County, Georgia",4726,581
1400000US13051004002,13051004002,"Census Tract 40.02, Chatham County, Georgia",3378,495
1400000US13051004100,13051004100,"Census Tract 41, Chatham County, Georgia",1853,219
1400000US13051004207,13051004207,"Census Tract 42.07, Chatham County, Georgia",4126,502
1400000US13051004208,13051004208,"Census Tract 42.08, Chatham County, Georgia",5407,669
1400000US13051004209,13051004209,"Census Tract 42.09, Chatham County, Georgia",3546,504
1400000US13051004210,13051004210,"Census Tract 42.10, Chatham County, Georgia",3997,441
1400000US13051004211,13051004211,"Census Tract 42.11, Chatham County, Georgia",4794,464
1400000US13051004212,13051004212,"Census Tract 42.12, Chatham County, Georgia",5719,1285
1400000US13051004300,13051004300,"Census Tract 43, Chatham County, Georgia",1565,259
1400000US13051004400,13051004400,"Census Tract 44, Chatham County, Georgia",2627,400
1400000US13051004500,13051004500,"Census Tract 45, Chatham County, Georgia",4151,365
1400000US13051010101,13051010101,"Census Tract 101.01, Chatham County, Georgia",1232,342
1400000US13051010102,13051010102,"Census Tract 101.02, Chatham County, Georgia",3215,179
1400000US13051010200,13051010200,"Census Tract 102, Chatham County, Georgia",4321,300
1400000US13051010501,13051010501,"Census Tract 105.01, Chatham County, Georgia",5300,965
1400000US13051010502,13051010502,"Census Tract 105.02, Chatham County, Georgia",4372,427
1400000US13051010601,13051010601,"Census Tract 106.01, Chatham County, Georgia",4849,460
1400000US13051010603,13051010603,"Census Tract 106.03, Chatham County, Georgia",1446,235
1400000US13051010605,13051010605,"Census Tract 106.05, Chatham County, Georgia",0,132
1400000US13051010700,13051010700,"Census Tract 107, Chatham County, Georgia",12393,877
1400000US13051010801,13051010801,"Census Tract 108.01, Chatham County, Georgia",2552,213
1400000US13051010802,13051010802,"Census Tract 108.02, Chatham County, Georgia",5819,622
1400000US13051010803,13051010803,"Census Tract 108.03, Chatham County, Georgia",10384,518
1400000US13051010806,13051010806,"Census Tract 108.06, Chatham County, Georgia",5840,512
1400000US13051010807,13051010807,"Census Tract 108.07, Chatham County, Georgia",5547,508
1400000US13051010808,13051010808,"Census Tract 108.08, Chatham County, Georgia",7490,621
1400000US13051010809,13051010809,"Census Tract 108.09, Chatham County, Georgia",8405,754
1400000US13051010901,13051010901,"Census Tract 109.01, Chatham County, Georgia",4407,589
1400000US13051011003,13051011003,"Census Tract 110.03, Chatham County, Georgia",5330,428
1400000US13051011004,13051011004,"Census Tract 110.04, Chatham County, Georgia",3492,260
1400000US13051011005,13051011005,"Census Tract 110.05, Chatham County, Georgia",4446,208
1400000US13051011006,13051011006,"Census Tract 110.06, Chatham County, Georgia",3668,238
1400000US13051011103,13051011103,"Census Tract 111.03, Chatham County, Georgia",3351,153
1400000US13051011104,13051011104,"Census Tract 111.04, Chatham County, Georgia",5748,484
1400000US13051011106,13051011106,"Census Tract 111.06, Chatham County, Georgia",5736,447
1400000US13051011107,13051011107,"Census Tract 111.07, Chatham County, Georgia",3210,215
1400000US13051011108,13051011108,"Census Tract 111.08, Chatham County, Georgia",3114,223
1400000US13051011109,13051011109,"Census Tract 111.09, Chatham County, Georgia",6987,474
1400000US13051011200,13051011200,"Census Tract 112, Chatham County, Georgia",2120,495
1400000US13051011300,13051011300,"Census Tract 113, Chatham County, Georgia",2427,481
1400000US13051011400,13051011400,"Census Tract 114, Chatham County, Georgia",1850,307
1400000US13051011500,13051011500,"Census Tract 115, Chatham County, Georgia",2723,234
1400000US13051011600,13051011600,"Census Tract 116, Chatham County, Georgia",2199,372
1400000US13051980000,13051980000,"Census Tract 9800, Chatham County, Georgia",0,132
1400000US13051990000,13051990000,"Census Tract 9900, Chatham County, Georgia",0,132
1400000US13053020100,13053020100,"Census Tract 201, Chattahoochee County, Georgia",3016,582
1400000US13053020201,13053020201,"Census Tract 202.01, Chattahoochee County, Georgia",3971,769
1400000US13053020203,13053020203,"Census Tract 202.03, Chattahoochee County, Georgia",1553,370
1400000US13053020205,13053020205,"Census Tract 202.05, Chattahoochee County, Georgia",2736,508
1400000US13053020206,13053020206,"Census Tract 202.06, Chattahoochee County, Georgia",426,206
1400000US13055010100,13055010100,"Census Tract 101, Chattooga County, Georgia",2303,299
1400000US13055010200,13055010200,"Census Tract 102, Chattooga County, Georgia",7329,652
1400000US13055010300,13055010300,"Census Tract 103, Chattooga County, Georgia",2416,287
1400000US13055010400,13055010400,"Census Tract 104, Chattooga County, Georgia",4791,607
1400000US13055010500,13055010500,"Census Tract 105, Chattooga County, Georgia",6587,580
1400000US13055010600,13055010600,"Census Tract 106, Chattooga County, Georgia",2559,334
1400000US13057090100,13057090100,"Census Tract 901, Cherokee County, Georgia",6938,405
1400000US13057090200,13057090200,"Census Tract 902, Cherokee County, Georgia",7203,606
1400000US13057090300,13057090300,"Census Tract 903, Cherokee County, Georgia",10671,604
1400000US13057090400,13057090400,"Census Tract 904, Cherokee County, Georgia",8462,728
1400000US13057090501,13057090501,"Census Tract 905.01, Cherokee County, Georgia",5576,494
1400000US13057090502,13057090502,"Census Tract 905.02, Cherokee County, Georgia",11854,786
1400000US13057090601,13057090601,"Census Tract 906.01, Cherokee County, Georgia",6608,655
1400000US13057090602,13057090602,"Census Tract 906.02, Cherokee County, Georgia",8263,550
1400000US13057090701,13057090701,"Census Tract 907.01, Cherokee County, Georgia",18472,843
1400000US13057090702,13057090702,"Census Tract 907.02, Cherokee County, Georgia",7601,539
1400000US13057090802,13057090802,"Census Tract 908.02, Cherokee County, Georgia",7376,573
1400000US13057090803,13057090803,"Census Tract 908.03, Cherokee County, Georgia",9006,620
1400000US13057090804,13057090804,"Census Tract 908.04, Cherokee County, Georgia",8705,651
1400000US13057090901,13057090901,"Census Tract 909.01, Cherokee County, Georgia",7143,505
1400000US13057090902,13057090902,"Census Tract 909.02, Cherokee County, Georgia",12740,682
1400000US13057090904,13057090904,"Census Tract 909.04, Cherokee County, Georgia",6763,535
1400000US13057090905,13057090905,"Census Tract 909.05, Cherokee County, Georgia",3935,357
1400000US13057091001,13057091001,"Census Tract 910.01, Cherokee County, Georgia",3827,344
1400000US13057091003,13057091003,"Census Tract 910.03, Cherokee County, Georgia",7571,815
1400000US13057091005,13057091005,"Census Tract 910.05, Cherokee County, Georgia",6960,479
1400000US13057091006,13057091006,"Census Tract 910.06, Cherokee County, Georgia",5358,252
1400000US13057091007,13057091007,"Census Tract 910.07, Cherokee County, Georgia",6694,685
1400000US13057091008,13057091008,"Census Tract 910.08, Cherokee County, Georgia",8339,359
1400000US13057091101,13057091101,"Census Tract 911.01, Cherokee County, Georgia",5589,457
1400000US13057091102,13057091102,"Census Tract 911.02, Cherokee County, Georgia",7212,558
1400000US13057091103,13057091103,"Census Tract 911.03, Cherokee County, Georgia",7417,507
1400000US13059000100,13059000100,"Census Tract 1, Clarke County, Georgia",1423,371
1400000US13059000401,13059000401,"Census Tract 4.01, Clarke County, Georgia",1604,414
1400000US13059000402,13059000402,"Census Tract 4.02, Clarke County, Georgia",8076,1358
1400000US13059000600,13059000600,"Census Tract 6, Clarke County, Georgia",2602,763
1400000US13059000900,13059000900,"Census Tract 9, Clarke County, Georgia",3398,436
1400000US13059001200,13059001200,"Census Tract 12, Clarke County, Georgia",2567,325
1400000US13059001700,13059001700,"Census Tract 17, Clarke County, Georgia",2119,190
1400000US13059001800,13059001800,"Census Tract 18, Clarke County, Georgia",2287,365
1400000US13059001900,13059001900,"Census Tract 19, Clarke County, Georgia",3263,425
1400000US13059002000,13059002000,"Census Tract 20, Clarke County, Georgia",1847,234
1400000US13059002100,13059002100,"Census Tract 21, Clarke County, Georgia",4174,568
1400000US13059002200,13059002200,"Census Tract 22, Clarke County, Georgia",2504,400
1400000US13059030100,13059030100,"Census Tract 301, Clarke County, Georgia",5126,773
1400000US13059030200,13059030200,"Census Tract 302, Clarke County, Georgia",3867,466
1400000US13059130300,13059130300,"Census Tract 1303, Clarke County, Georgia",5715,685
1400000US13059130400,13059130400,"Census Tract 1304, Clarke County, Georgia",5645,450
1400000US13059130500,13059130500,"Census Tract 1305, Clarke County, Georgia",3130,383
1400000US13059130600,13059130600,"Census Tract 1306, Clarke County, Georgia",5414,658
1400000US13059130700,13059130700,"Census Tract 1307, Clarke County, Georgia",5024,793
1400000US13059140300,13059140300,"Census Tract 1403, Clarke County, Georgia",4454,512
1400000US13059140400,13059140400,"Census Tract 1404, Clarke County, Georgia",3427,494
1400000US13059140500,13059140500,"Census Tract 1405, Clarke County, Georgia",1995,413
